"Name","ID","Group","model.name","system.group","seed","system.train_ratio","system.n_constraints","system.state_dim","system.obs_state_ratio","system.noise_level","state_pred_loss/test","time","state_pred_loss_t/test"
"S:50-OS:3-H:2-G:C10-N:4_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","rj6n65bw","NoiseSensitivity2","E-DAE","C10","1","1","1","50","3","4","0.3389705419540405","4.918085199563623","0.501157283782959"
"S:50-OS:3-H:2-G:C10-N:9_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","rntvtere","NoiseSensitivity2","E-DAE","C10","3","1","1","50","3","9","0.7433054447174072","4.918085199563623","1.079783320426941"
"S:50-OS:3-H:2-G:C10-N:9_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","dhad84q2","NoiseSensitivity2","E-DAE","C10","1","1","1","50","3","9","0.7428779602050781","4.918085199563623","1.062778115272522"
"S:50-OS:3-H:2-G:C10-N:9_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","bphxdebu","NoiseSensitivity2","E-DAE","C10","0","1","1","50","3","9","0.7419131994247437","4.918085199563623","1.0682071447372437"
"S:50-OS:3-H:2-G:C10-N:4_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","3pti7jnd","NoiseSensitivity2","E-DAE","C10","2","1","1","50","3","4","0.3330111801624298","4.918085199563623","0.4882470369338989"
"S:50-OS:3-H:2-G:C10-N:4_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","7b0yxl95","NoiseSensitivity2","E-DAE","C10","0","1","1","50","3","4","0.340150386095047","4.918085199563623","0.5069162249565125"
"S:50-OS:3-H:2-G:C10-N:9_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","go29r55l","NoiseSensitivity2","E-DAE","C10","2","1","1","50","3","9","0.7429040670394897","4.918085199563623","1.0724562406539917"
"S:50-OS:3-H:2-G:C10-N:4_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","ov7tuhnl","NoiseSensitivity2","E-DAE","C10","3","1","1","50","3","4","0.3381715416908264","4.918085199563623","0.5083158016204834"
"S:50-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","m20gvecz","NoiseSensitivity2","E-DAE","C10","1","1","1","50","3","2","0.1778535097837448","4.918085199563623","0.2666279673576355"
"S:50-OS:3-H:2-G:C10-N:8_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","zftt8eze","NoiseSensitivity2","E-DAE","C10","3","1","1","50","3","8","0.664967954158783","4.918085199563623","0.9647781848907472"
"S:50-OS:3-H:2-G:C10-N:8_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","kf3d579x","NoiseSensitivity2","E-DAE","C10","1","1","1","50","3","8","0.6665011048316956","4.918085199563623","0.9801164269447328"
"S:50-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","ayvnz50p","NoiseSensitivity2","E-DAE","C10","3","1","1","50","3","2","0.17438608407974243","4.918085199563623","0.25731849670410156"
"S:50-OS:3-H:2-G:C10-N:4_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","imrw1yer","NoiseSensitivity2","DAE","C10","2","1","1","50","3","4","0.4304833710193634","4.918085199563623","0.6638898253440857"
"S:50-OS:3-H:2-G:C10-N:9_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","ndego1kv","NoiseSensitivity2","DAE","C10","3","1","1","50","3","9","0.8880535364151001","4.918085199563623","1.334672212600708"
"S:50-OS:3-H:2-G:C10-N:8_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","f999bfuz","NoiseSensitivity2","DAE","C10","3","1","1","50","3","8","0.7943190932273865","4.918085199563623","1.2544808387756348"
"S:50-OS:3-H:2-G:C5-N:9_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","7iq6byeq","NoiseSensitivity2","E-DAE","C5","3","1","1","50","3","9","0.7791870832443237","5.082603387667447","1.1691466569900513"
"S:50-OS:3-H:2-G:C10-N:4_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","r1k3ojg5","NoiseSensitivity2","DAE","C10","3","1","1","50","3","4","0.4160930812358856","4.918085199563623","0.6467421650886536"
"S:50-OS:3-H:2-G:C10-N:9_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","r3qxo153","NoiseSensitivity2","DAE","C10","2","1","1","50","3","9","0.8911247849464417","4.918085199563623","1.3599623441696167"
"S:50-OS:3-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","hac67o35","NoiseSensitivity2","DAE","C10","3","1","1","50","3","2","0.236171692609787","4.918085199563623","0.3755670487880707"
"S:50-OS:3-H:2-G:C5-N:9_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","lik04zap","NoiseSensitivity2","E-DAE","C5","2","1","1","50","3","9","0.7922379374504089","5.082603387667447","1.1895092725753784"
"S:50-OS:3-H:2-G:C5-N:8_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","l0d56x8r","NoiseSensitivity2","E-DAE","C5","3","1","1","50","3","8","0.6909967660903931","5.082603387667447","1.0184447765350342"
"S:50-OS:3-H:2-G:C5-N:4_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","jady9u23","NoiseSensitivity2","E-DAE","C5","3","1","1","50","3","4","0.35178425908088684","5.082603387667447","0.5185635089874268"
"S:50-OS:3-H:2-G:C5-N:4_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","9c7b17sh","NoiseSensitivity2","E-DAE","C5","2","1","1","50","3","4","0.35327646136283875","5.082603387667447","0.5299782156944275"
"S:50-OS:3-H:2-G:C5-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","fhvl5a9h","NoiseSensitivity2","E-DAE","C5","3","1","1","50","3","2","0.18053267896175385","5.082603387667447","0.2663934826850891"
"S:50-OS:3-H:2-G:C10-N:4_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","k566p0lj","NoiseSensitivity2","DAE","C10","1","1","1","50","3","4","0.42692214250564575","4.918085199563623","0.6682911515235901"
"S:50-OS:3-H:2-G:C10-N:4_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","h0ex5ukc","NoiseSensitivity2","DAE","C10","0","1","1","50","3","4","0.4255046844482422","4.918085199563623","0.660792887210846"
"S:50-OS:3-H:2-G:C10-N:9_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","foq4um0t","NoiseSensitivity2","DAE","C10","1","1","1","50","3","9","0.9059571027755736","4.918085199563623","1.400634527206421"
"S:50-OS:3-H:2-G:C10-N:9_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","8c9ytako","NoiseSensitivity2","DAE","C10","0","1","1","50","3","9","0.8933413624763489","4.918085199563623","1.3589959144592283"
"S:50-OS:3-H:2-G:C5-N:9_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","a818pxw3","NoiseSensitivity2","E-DAE","C5","1","1","1","50","3","9","0.7803984880447388","5.082603387667447","1.163150191307068"
"S:50-OS:3-H:2-G:C5-N:4_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","0opg088e","NoiseSensitivity2","E-DAE","C5","1","1","1","50","3","4","0.3558201491832733","5.082603387667447","0.5427336692810059"
"S:50-OS:3-H:2-G:C5-N:4_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","r3x1j7ju","NoiseSensitivity2","E-DAE","C5","0","1","1","50","3","4","0.3583684265613556","5.082603387667447","0.5483306646347046"
"S:50-OS:3-H:2-G:C5-N:9_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","o45hduyn","NoiseSensitivity2","E-DAE","C5","0","1","1","50","3","9","0.7818040251731873","5.082603387667447","1.156258225440979"
"S:50-OS:3-H:2-G:C5-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","1dkwomz6","NoiseSensitivity2","E-DAE","C5","1","1","1","50","3","2","0.1835971474647522","5.082603387667447","0.28070199489593506"
"S:50-OS:3-H:2-G:C10-N:8_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","b8yzxes8","NoiseSensitivity2","DAE","C10","1","1","1","50","3","8","0.8034559488296509","4.918085199563623","1.292876958847046"
"S:50-OS:3-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","m230b0vh","NoiseSensitivity2","DAE","C10","1","1","1","50","3","2","0.23970678448677063","4.918085199563623","0.3904194235801697"
"S:50-OS:3-H:2-G:C5-N:8_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","95db75hl","NoiseSensitivity2","E-DAE","C5","1","1","1","50","3","8","0.6896559596061707","5.082603387667447","1.0162899494171145"
"S:50-OS:3-H:2-G:C5-N:9_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","p2hdhmps","NoiseSensitivity2","DAE","C5","3","1","1","50","3","9","0.89058518409729","5.082603387667447","1.3693242073059082"
"S:50-OS:3-H:2-G:C5-N:4_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","2b37m85e","NoiseSensitivity2","DAE","C5","3","1","1","50","3","4","0.4258677363395691","5.082603387667447","0.6522489190101624"
"S:50-OS:3-H:2-G:C5-N:4_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","k5fnrlc0","NoiseSensitivity2","DAE","C5","2","1","1","50","3","4","0.4215569496154785","5.082603387667447","0.6345657110214233"
"S:50-OS:3-H:2-G:C5-N:9_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","nw9z6v2p","NoiseSensitivity2","DAE","C5","2","1","1","50","3","9","0.8753646016120911","5.082603387667447","1.314478635787964"
"S:50-OS:3-H:2-G:C5-N:8_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","huix4xzy","NoiseSensitivity2","DAE","C5","3","1","1","50","3","8","0.7726311087608337","5.082603387667447","1.192599534988403"
"S:50-OS:3-H:2-G:C5-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","0r3fssw6","NoiseSensitivity2","DAE","C5","3","1","1","50","3","2","0.2197120040655136","5.082603387667447","0.338940292596817"
"S:50-OS:3-H:2-G:C5-N:9_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","f0zrnc0v","NoiseSensitivity2","DAE","C5","1","1","1","50","3","9","0.8994764685630798","5.082603387667447","1.4269393682479858"
