"Name","ID","Group","model.name","system.group","seed","system.train_ratio","system.n_constraints","system.state_dim","system.obs_state_ratio","system.noise_level","state_pred_loss/test","time","state_pred_loss_t/test"
"S:50-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=0.75 system=linear_system","p465h0ow","LinSampleEff","E-DAE","C10","3","0.75","1","50","3","2","0.11330195516347884","5.109775327245899","0.1714099794626236"
"S:50-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0 system=linear_system","jhrudyb7","LinSampleEff","E-DAE","C10","3","1","1","50","3","2","0.10993674397468568","5.109775327245899","0.15860897302627563"
"S:50-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=0.5 system=linear_system","mjfbkjtk","LinSampleEff","E-DAE","C10","3","0.5","1","50","3","2","0.1114589497447014","5.109775327245899","0.16201543807983398"
"S:50-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=0.75 system=linear_system","6k6ab1m1","LinSampleEff","E-DAE","C10","2","0.75","1","50","3","2","0.11318019777536392","5.109775327245899","0.16676315665245056"
"S:50-OS:3-H:2-G:C5-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=0.75 system=linear_system","s61rgz77","LinSampleEff","E-DAE","C5","3","0.75","1","50","3","2","0.11547001451253892","5.222080986136334","0.16949445009231567"
"S:50-OS:3-H:2-G:C5-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0 system=linear_system","m2nvxf6n","LinSampleEff","E-DAE","C5","3","1","1","50","3","2","0.11396615207195282","5.222080986136334","0.1657714694738388"
"S:50-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=0.25 system=linear_system","yzrg9h0k","LinSampleEff","E-DAE","C10","3","0.25","1","50","3","2","0.11376886814832687","5.109775327245899","0.16399653255939484"
"S:50-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=0.5 system=linear_system","vs4c45mz","LinSampleEff","E-DAE","C10","2","0.5","1","50","3","2","0.11452225595712662","5.109775327245899","0.1708284169435501"
"S:50-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=0.25 system=linear_system","o1ir9few","LinSampleEff","E-DAE","C10","2","0.25","1","50","3","2","0.1104750633239746","5.109775327245899","0.1547144204378128"
"S:50-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=0.75 system=linear_system","sgvrxylm","LinSampleEff","E-DAE","C10","1","0.75","1","50","3","2","0.11066194623708724","5.109775327245899","0.1581229269504547"
"S:50-OS:3-H:2-G:C5-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=0.75 system=linear_system","hp1uy8o1","LinSampleEff","E-DAE","C5","2","0.75","1","50","3","2","0.11465998739004137","5.222080986136334","0.16497254371643066"
"S:50-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=0.75 system=linear_system","otpo35ea","LinSampleEff","E-DAE","C10","0","0.75","1","50","3","2","0.11142870038747787","5.109775327245899","0.16114401817321777"
