"Name","ID","Group","model.name","system.group","seed","system.train_ratio","system.n_constraints","system.state_dim","system.obs_state_ratio","system.noise_level","state_pred_loss/test"
"S:100-OS:3-H:2-G:C5-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","w3iivt63","C10-StateDim2","E-DAE","C5","3","1","1","100","3","2","0.18190349638462067"
"S:100-OS:3-H:2-G:C5-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","szs4uz8k","C10-StateDim2","E-DAE","C5","0","1","1","100","3","2","0.18131178617477417"
"S:100-OS:3-H:2-G:C5-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","go2vz1jj","C10-StateDim2","E-DAE","C5","2","1","1","100","3","2","0.1830473989248276"
"S:100-OS:3-H:2-G:C5-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","myy25gv7","C10-StateDim2","E-DAE","C5","1","1","1","100","3","2","0.18338146805763245"
"S:100-OS:3-H:2-G:C5-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","5h7hw2x5","C10-StateDim2","DAE","C5","1","1","1","100","3","2","0.2607805132865906"
"S:100-OS:3-H:2-G:C5-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","kybv887m","C10-StateDim2","DAE","C5","2","1","1","100","3","2","0.2658970355987549"
"S:100-OS:3-H:2-G:C5-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","155wwmun","C10-StateDim2","DAE","C5","0","1","1","100","3","2","0.2632843255996704"
"S:100-OS:3-H:2-G:C5-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","mir46xvm","C10-StateDim2","DAE","C5","3","1","1","100","3","2","0.25421544909477234"
"S:100-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","bmtstrp6","C10-StateDim2","E-DAE","C10","3","1","1","100","3","2","0.1502595990896225"
"S:100-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","b2f7q0g1","C10-StateDim2","E-DAE","C10","2","1","1","100","3","2","0.15070077776908877"
