"time","S:70-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system - _step","S:70-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system - _step__MIN","S:70-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system - _step__MAX","S:70-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system - state_pred_loss_t/test","S:70-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system - state_pred_loss_t/test__MIN","S:70-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system - state_pred_loss_t/test__MAX","S:70-OS:3-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system - _step","S:70-OS:3-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system - _step__MIN","S:70-OS:3-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system - _step__MAX","S:70-OS:3-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system - state_pred_loss_t/test","S:70-OS:3-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system - state_pred_loss_t/test__MIN","S:70-OS:3-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system - state_pred_loss_t/test__MAX","S:70-OS:3-H:2-G:C5-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0 - _step","S:70-OS:3-H:2-G:C5-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0 - _step__MIN","S:70-OS:3-H:2-G:C5-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0 - _step__MAX","S:70-OS:3-H:2-G:C5-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0 - state_pred_loss_t/test","S:70-OS:3-H:2-G:C5-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0 - state_pred_loss_t/test__MIN","S:70-OS:3-H:2-G:C5-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0 - state_pred_loss_t/test__MAX"
"0","11202","7452","14952","0.010134133447606403","0.00956940371543169","0.011029727756977081","11202","7452","14952","0.029164312980495967","0.02761472947895527","0.030753567814826965","11702","9902","13502","0.031418249011039734","0.030540164560079575","0.032815076410770416"
"0.051303535693925435","11203","7453","14953","0.024368011983684622","0.023989994078874588","0.024850571528077126","11203","7453","14953","0.03764527183599197","0.036406997591257095","0.038914646953344345","","","","","",""
"0.052130199592674294","","","","","","","","","","","","","11703","9903","13503","0.039985428349329874","0.03912831470370293","0.04109833762049675"
"0.10260707138785087","11204","7454","14954","0.03268192472079626","0.03230033814907074","0.03303954005241394","11204","7454","14954","0.04455314071562428","0.04343163222074509","0.045741014182567596","","","","","",""
"0.10426039918534859","","","","","","","","","","","","","11704","9904","13504","0.047253888386946455","0.046399470418691635","0.048257485032081604"
"0.1539106070817763","11205","7455","14955","0.03916643291281966","0.038802530616521835","0.03955184668302536","11205","7455","14955","0.05064965429930733","0.04939205199480057","0.05168912932276726","","","","","",""
"0.1563905987780229","","","","","","","","","","","","","11705","9905","13505","0.053831383012808286","0.05289061740040779","0.05470012500882149"
"0.20521414277570174","11206","7456","14956","0.04464164845502147","0.044213518500328064","0.044971998780965805","11206","7456","14956","0.05622892282330073","0.05491896718740463","0.05732673034071922","","","","","",""
"0.20852079837069717","","","","","","","","","","","","","11706","9906","13506","0.059944165440706104","0.05883731693029404","0.06109970808029175"
"0.2565176784696272","11207","7457","14957","0.04946446153693474","0.04908789321780205","0.049817364662885666","11207","7457","14957","0.06145188083442358","0.05997864529490471","0.06256033480167389","","","","","",""
"0.2606509979633715","","","","","","","","","","","","","11707","9907","13507","0.0657089243714626","0.06452426314353943","0.06679678708314896"
"0.3078212141635526","11208","7458","14958","0.05380304512352897","0.053353048861026764","0.05424639955163002","11208","7458","14958","0.06639603296151528","0.06485473364591599","0.06755691766738892","","","","","",""
"0.3127811975560458","","","","","","","","","","","","","11708","9908","13508","0.07121236736957844","0.06990799307823181","0.07226855307817459"
"0.35912474985747805","11209","7459","14959","0.05775116469997626","0.05732845515012741","0.05823258310556412","11209","7459","14959","0.0711008940035334","0.06945381313562393","0.07226185500621796","","","","","",""
"0.36491139714872006","","","","","","","","","","","","","11709","9909","13509","0.07650305273441169","0.07506769150495529","0.07748016715049744"
"0.4104282855514035","11210","7460","14960","0.06141002454723303","0.06094459444284439","0.061951398849487305","11210","7460","14960","0.0756238795673618","0.07384146749973297","0.07692692428827286","","","","","",""
"0.41704159674139435","","","","","","","","","","","","","11710","9910","13510","0.08161841820065792","0.08009036630392075","0.08271770179271698"
"0.4617318212453289","11211","7461","14961","0.06483619151493678","0.06436531245708466","0.06537555158138275","11211","7461","14961","0.07999717272244967","0.07806412130594254","0.0813416987657547","","","","","",""
"0.46917179633406864","","","","","","","","","","","","","11711","9911","13511","0.08660515139882381","0.08489522337913513","0.08789893239736557"
"0.5130353569392544","11212","7462","14962","0.06808387029629487","0.06748927384614944","0.06862255185842514","11212","7462","14962","0.08425607224209951","0.08224504441022873","0.08568902313709259","","","","","",""
"0.521301995926743","","","","","","","","","","","","","11712","9912","13512","0.09146061253089172","0.08962135016918182","0.09300979226827621"
"0.5643388926331798","11213","7463","14963","0.07117169221433309","0.07047204673290253","0.07179609686136246","11213","7463","14963","0.0884064486823403","0.08631975203752518","0.09006476402282715","","","","","",""
"0.5734321955194173","","","","","","","","","","","","","11713","9913","13513","0.0962107665836811","0.09418412297964096","0.09793834388256073"
"0.6156424283271053","11214","7464","14964","0.07413508621259378","0.07339590042829514","0.07465434074401855","11214","7464","14964","0.09246783216412251","0.09017708152532578","0.09438785910606384","","","","","",""
"0.6255623951120916","","","","","","","","","","","","","11714","9914","13514","0.10088159831670615","0.09868980944156647","0.1027269959449768"
"0.6669459640210307","11215","7465","14965","0.07696565190473428","0.07612122595310211","0.07757994532585144","11215","7465","14965","0.096432347710316","0.0940392017364502","0.09834165871143341","","","","","",""
"0.6776925947047658","","","","","","","","","","","","","11715","9915","13515","0.10545580117748334","0.10308653861284256","0.10745178908109665"
"0.7182494997149561","11216","7466","14966","0.07965513239972867","0.07887991517782211","0.08035855740308762","11216","7466","14966","0.10029409481928898","0.09781425446271896","0.10227088630199432","","","","","",""
"0.7298227942974401","","","","","","","","","","","","","11716","9916","13516","0.10995693963307601","0.10745444148778915","0.11223039031028748"
"0.7695530354088815","11217","7467","14967","0.08225390795045175","0.08148451149463654","0.08294651657342911","11217","7467","14967","0.10408883706594889","0.10140393674373627","0.10620216280221939","","","","","",""
"0.7819529938901144","","","","","","","","","","","","","11717","9917","13517","0.11437862280469674","0.11167998611927032","0.11685585975646973"
"0.820856571102807","11218","7468","14968","0.0847379549478109","0.0840507447719574","0.0854351744055748","11218","7468","14968","0.10779623973828095","0.10485263913869858","0.10996051877737045","","","","","",""
"0.8340831934827887","","","","","","","","","","","","","11718","9918","13518","0.11874617063082181","0.11593705415725708","0.12147226929664612"
"0.8721601067967324","11219","7469","14969","0.08711438446950454","0.0864301472902298","0.08780521899461746","11219","7469","14969","0.11141842446075036","0.10832911729812622","0.11374741792678833","","","","","",""
"0.886213393075463","","","","","","","","","","","","","11719","9919","13519","0.12304495446957074","0.12020207941532135","0.1260448545217514"
"0.9234636424906578","11220","7470","14970","0.08940315389862427","0.08872553706169128","0.09005999565124512","11220","7470","14970","0.11497322455621682","0.1117081493139267","0.11728297919034958","","","","","",""
"0.9383435926681373","","","","","","","","","","","","","11720","9920","13520","0.1272932285299668","0.12426914274692535","0.1304997205734253"
"0.9747671781845832","11221","7471","14971","0.09160541091114283","0.09093404561281204","0.0923328548669815","11221","7471","14971","0.11846067555821858","0.1149611696600914","0.12086500227451324","","","","","",""
"0.9904737922608116","","","","","","","","","","","","","11721","9921","13521","0.13148858627447715","0.12837322056293488","0.13479208946228027"
"1.0260707138785088","11222","7472","14972","0.09374209557874845","0.09300339221954346","0.09449617564678192","11222","7472","14972","0.1218926226003812","0.11820892244577408","0.12435808032751083","","","","","",""
"1.042603991853486","","","","","","","","","","","","","11722","9922","13522","0.13563376034681612","0.13240930438041687","0.13913555443286896"
"1.077374249572434","11223","7473","14973","0.0958101383338754","0.09498441964387894","0.09664295613765717","11223","7473","14973","0.1252655853302433","0.12143772095441818","0.12778474390506744","","","","","",""
"1.0947341914461601","","","","","","","","","","","","","11723","9923","13523","0.13972782572874656","0.13626481592655182","0.14351491630077362"
"1.1286777852663596","11224","7474","14974","0.09781508391293195","0.09689220786094666","0.09870631247758865","11224","7474","14974","0.12858239432366994","0.12465883791446686","0.13136084377765656","","","","","",""
"1.1468643910388345","","","","","","","","","","","","","11724","9924","13524","0.143780139203255","0.14013321697711945","0.1477883905172348"
"1.179981320960285","11225","7475","14975","0.09976405600229135","0.09881734848022461","0.10060121864080429","11225","7475","14975","0.13185115817647713","0.1278393417596817","0.13459929823875427","","","","","",""
"1.1989945906315087","","","","","","","","","","","","","11725","9925","13525","0.14780287960400948","0.14413535594940186","0.15209028124809265"
"1.2312848566542105","11226","7476","14976","0.10166800294357997","0.10063427686691284","0.10259421169757843","11226","7476","14976","0.1350782638272414","0.1309235692024231","0.137801855802536","","","","","",""
"1.251124790224183","","","","","","","","","","","","","11726","9926","13526","0.15180639636058074","0.14803043007850647","0.15625369548797607"
"1.2825883923481358","11227","7477","14977","0.10351815554671563","0.102440744638443","0.10443747043609619","11227","7477","14977","0.13825628204414478","0.13395841419696808","0.14105263352394104","","","","","",""
"1.3032549898168573","","","","","","","","","","","","","11727","9927","13527","0.15577364197144142","0.1519010365009308","0.16052483022212982"
"1.3338919280420614","11228","7478","14978","0.1053351923250235","0.10432875901460648","0.10620956867933273","11228","7478","14978","0.14140372021267048","0.1369377225637436","0.14422766864299774","","","","","",""
"1.3553851894095317","","","","","","","","","","","","","11728","9928","13528","0.15971325853696236","0.1557527482509613","0.16473644971847534"
"1.3851954637359867","11229","7479","14979","0.10711971340844265","0.10600311309099197","0.10822104662656784","11229","7479","14979","0.14451826062913126","0.1399008184671402","0.14753685891628265","","","","","",""
